x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
-3.3451293,3.779696,37302_640_A4_2,19,Centrosome,DAPK1,ENSG00000196730,A-431 , 18 , 2.7254 , 7497.4444 , 3.9922 , 0 , 267.33 , 1.1667 , 2.6188 , 16.2567
-3.38971,4.079914,37583_1396_F12_9,19,Centrosome,PLEKHS1,ENSG00000148735,RT4 , 49 , 3.534 , 6447.0816 , 5.9888 , 0 , 235.1911 , 1.5918 , 3.7397 , 24.1282
-3.8423665,4.1909165,37583_1396_F12_8,19,Centrosome,PLEKHS1,ENSG00000148735,RT4 , 43 , 2.3761 , 4368.186 , 3.2582 , 0 , 165.7191 , 1.0698 , 1.9914 , 6.6182
-3.5837336,4.1963744,37376_521_F3_3,19,Centrosome,WDR37,ENSG00000047056,U-251 MG , 11 , 5.5701 , 7321.0909 , 10.8757 , 0 , 267.0747 , 2.2727 , 4.3656 , 32.2457
-3.1069734,4.133152,37376_521_F3_2,19,Centrosome,WDR37,ENSG00000047056,U-251 MG , 15 , 7.2059 , 6783.8667 , 14.3615 , 0 , 255.0973 , 3.2667 , 3.649 , 20.2793
-3.4473395,3.9880471,37302_642_A4_8,19,Centrosome,DAPK1,ENSG00000196730,U-2 OS , 20 , 3.2932 , 6161.8 , 4.5451 , 0 , 244.6751 , 1.3 , 2.1027 , 9.194
-3.7390935,4.210161,37302_642_A4_1,19,Centrosome,DAPK1,ENSG00000196730,U-2 OS , 10 , 2.8446 , 7068.7 , 3.9733 , 0 , 275.2128 , 1.2 , 2.15 , 7.1768
-3.5722797,4.176478,37302_641_A4_4,19,Centrosome,DAPK1,ENSG00000196730,U-251 MG , 12 , 3.83 , 6339.8333 , 5.8742 , 0 , 240.2974 , 1.5833 , 2.7788 , 14.768
-3.7208858,4.147879,37302_641_A4_3,19,Centrosome,DAPK1,ENSG00000196730,U-251 MG , 11 , 3.6078 , 7356.3636 , 5.4153 , 0 , 263.8833 , 1.3636 , 2.8452 , 15.0642
-3.6363225,4.0928054,37302_640_A4_1,19,Centrosome,DAPK1,ENSG00000196730,A-431 , 16 , 2.5338 , 7365.6875 , 4.5454 , 0 , 265.4581 , 1.0625 , 2.7274 , 15.2437
-3.8113065,4.104637,37583_436_G3_3,19,Centrosome,PLEKHS1,ENSG00000148735,A-431 , 13 , 18.258 , 7671.6923 , 12.3612 , 11.9231 , 263.0726 , 16.1538 , 1.8469 , 7.6955
-3.2489438,4.054796,36946_1036_D11_6,19,Centrosome,TRDMT1,ENSG00000107614,HEK 293 , 29 , 11.8679 , 7400.7586 , 11.3943 , 0.3103 , 284.1085 , 9.2069 , 1.9725 , 7.1223
-2.8375921,4.046447,36946_1036_D11_3,19,Centrosome,TRDMT1,ENSG00000107614,HEK 293 , 24 , 10.2599 , 8195 , 9.9556 , 0 , 297.9498 , 7.9167 , 2.0626 , 7.4783
-3.6665564,3.991064,3647_22_C11_2,19,Centrosome,DNAL4,ENSG00000100246,U-251 MG , 10 , 10.2341 , 7246.5 , 9.7378 , 0 , 263.5025 , 8.9 , 2.4176 , 15.3032
-3.5560899,3.9912956,3647_22_C11_1,19,Centrosome,DNAL4,ENSG00000100246,U-251 MG , 12 , 15.6502 , 6828.9167 , 11.4501 , 7 , 265.5991 , 14.3333 , 1.7285 , 9.9265
-3.7620614,3.939606,36405_571_B10_2,19,Centrosome,OBSL1,ENSG00000124006,A-431 , 12 , 19.2102 , 8276.9167 , 14.665 , 8.1667 , 293.3946 , 16.3333 , 1.9062 , 8.6311
